数据集,N,风险系数alpha,风险系数百分比,D_target,用户数,项目数I,候选边数,有候选用户的项目数,推荐总数,推荐准确性,总体多样性,目标函数值,Naive推荐准确性,Naive总体多样性,迭代次数,交换次数,target_feasible,max_reached,求解时间s,建模时间s,总时间s,求解后端
TG,10,0.1,10,11924,19412,11924,23135514,10549,194120,4.37027,10549,848356.905919,4.377642,2429,,,False,10549,21.925,5.297,27.231,OR-Tools SimpleMinCostFlow C++
TG,10,0.2,20,11924,19412,11924,46267230,11256,194120,4.368662,11256,848044.741922,4.377642,2429,,,False,11256,42.058,7.925,49.99,OR-Tools SimpleMinCostFlow C++
TG,10,0.3,30,11924,19412,11924,69399400,11548,194120,4.367876,11548,847891.999525,4.377642,2427,,,False,11548,56.172,10.907,67.092,OR-Tools SimpleMinCostFlow C++
TG,10,0.4,40,11924,19412,11924,92529265,11709,194120,4.367386,11709,847797.003022,4.377642,2427,,,False,11709,59.631,11.69,71.334,OR-Tools SimpleMinCostFlow C++
TG,10,0.5,50,11924,19412,11924,115656405,11807,194120,4.36706,11807,847733.71803,4.377642,2426,,,False,11807,243.583,15.475,259.103,OR-Tools SimpleMinCostFlow C++
TG,10,0.6,60,11924,19412,11924,138789609,11855,194120,4.366891,11855,847700.916622,4.377642,2427,,,False,11855,341.721,45.63,387.398,OR-Tools SimpleMinCostFlow C++
TG,10,0.7,70,11924,19412,11924,161920694,11883,194120,4.366791,11883,847681.501627,4.377642,2427,,,False,11883,152.796,53.501,206.304,OR-Tools SimpleMinCostFlow C++
TG,10,0.8,80,11924,19412,11924,185051644,11915,194120,4.366635,11915,847651.148028,4.377642,2427,,,False,11915,107.607,20.007,127.625,OR-Tools SimpleMinCostFlow C++
TG,10,0.9,90,11924,19412,11924,208184580,11924,194120,4.366608,11924,847645.955628,4.377642,2427,,,True,11924,147.893,22.729,170.631,OR-Tools SimpleMinCostFlow C++
TG,10,1.0,100,11924,19412,11924,231301091,11924,194120,4.366631,11924,847650.31493,4.377642,2426,,,True,11924,179.922,26.089,206.021,OR-Tools SimpleMinCostFlow C++
VG,10,0.1,10,10350,24442,10350,25289065,8406,244420,4.843772,8384,1183914.872513,4.844678,3780,4604.0,6855.0,False,8384,2186.682,,,
VG,10,0.2,20,10350,24442,10350,50558522,9315,244420,4.843239,9310,1183784.397969,4.844678,3804,,,False,9310,40.822,6.817,47.645,OR-Tools SimpleMinCostFlow C++
VG,10,0.3,30,10350,24442,10350,75839769,9775,244420,4.842864,9775,1183692.778878,4.844678,3531,,,False,9775,68.033,10.227,78.265,OR-Tools SimpleMinCostFlow C++
VG,10,0.4,40,10350,24442,10350,101111454,10014,244420,4.842667,10014,1183644.743657,4.844678,3229,,,False,10014,73.306,11.499,84.812,OR-Tools SimpleMinCostFlow C++
VG,10,0.5,50,10350,24442,10350,126387087,10158,244420,4.842632,10158,1183636.05184,4.844678,2932,,,False,10158,101.401,13.42,114.837,OR-Tools SimpleMinCostFlow C++
VG,10,0.6,60,10350,24442,10350,151663607,10250,244420,4.842636,10250,1183637.077727,4.844678,2793,,,False,10250,132.851,15.826,148.689,OR-Tools SimpleMinCostFlow C++
VG,10,0.7,70,10350,24442,10350,176943012,10295,244420,4.84273,10295,1183660.159112,4.844678,2770,,,False,10295,201.883,20.181,222.077,OR-Tools SimpleMinCostFlow C++
VG,10,0.8,80,10350,24442,10350,202216539,10325,244420,4.842811,10325,1183679.907495,4.844678,2772,,,False,10325,202.29,22.287,224.615,OR-Tools SimpleMinCostFlow C++
VG,10,0.9,90,10350,24442,10350,227493716,10346,244420,4.842839,10346,1183686.606758,4.844678,2800,,,False,10346,247.275,30.068,277.357,OR-Tools SimpleMinCostFlow C++
VG,10,1.0,100,10350,24442,10350,252759620,10350,244420,4.842935,10350,1183710.105206,4.844678,1249,,,True,10350,342.932,35.619,378.571,OR-Tools SimpleMinCostFlow C++
